Year,Table,Row
1905,4,"['ERA', 'Chicago', '1.99']"
1905,4,"['Fewest Hits Allowed', 'Philadelphia', '1,137']"
1905,4,"['Fewest Home Runs Allowed', 'Chicago', '11']"
1905,4,['Detroit']
1905,4,"['Fewest Walks Allowed', 'Boston', '292']"
1905,4,"['Saves', 'New York', '4']"
1905,4,"['Shutouts', 'New York', '19']"
1905,4,['Philadelphia']
1905,4,"['Strikeouts', 'Philadelphia', '895']"
1905,4,"['Statistic', 'Team', '#']"
